date,user,is_retweet,is_quote,text,quoted_text,,,,,,,,,,,
2021-03-16 21:18:05,DekuShoesStan,True,False,"RT @SirSicCrusader: I don't know when this happened but YouTube just MASSIVELY broadened their ""hate speech"" segment to include basically e…",,,,,,,,,,,,
2021-03-16 21:18:15,ScottieAustin15,True,False,RT @EukayBrie: Free speech is also hate speech bcuz free speech is just that “free speech”! Where do you draw the line? Do we just walk aro…,,,,,,,,,,,,
2021-03-16 21:18:19,lizzbag,False,True,Agreed.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Being coerced into telling lies is not free speech.,You want to know why I switched sides from being a TRA? Because the people I was being told were hateful and transphobic were only speaking the truth and the only hate I could see was all coming from TRA's.,,,,,,,,,,,,,,,
2021-03-16 21:18:29,wh0recried,True,True,RT @shaun_vids: youtube missed the boat on banning crowder for homophobic harassment, or having a neo-nazi on his crew, or any of the hundr…,On YouTube, Steven Crowder and his co-hosts go on a wildly racist tirade against Black farmers. ,,,,,,,,
,,,,,,,,,,,,,,,,
https://t.co/dbnKNN2Lch https://t.co/iUsm2hjknb,,,,,,,,,,,,,,,,
2021-03-16 21:18:31,ToriNazu,False,False,@Z0RAz @Ginny_the_squid @_SapphicSenpai_ You cannot be neutral on literal hate speech against queer people.,,,,,,,,,,,,
2021-03-16 21:18:51,AlphaGoII1,False,False,@Robert124661 'Annoyance' are weasel words like the other Hate Speech Bills that have a victimless crime based on 'distress'.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Multiculturalism does not work.,,,,,,,,,,,,,,,,
Diversity means less White people.,,,,,,,,,,,,,,,,
2021-03-16 21:18:53,Selenajade1224,False,False,@Wolfe321 I’m wondering what if we reported him to the governing body that regulates social media in Germany.  They have tighter controls on hate speech. ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Did we report him to Facebook and Twitter? ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
It also really bothered him that you were publicly speaking out. Bug him some more! 😊,,,,,,,,,,,,,,,,
2021-03-16 21:19:11,lizzbag,False,True,Agreed.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
We don't have Free Speech if we are being coerced into telling lies.,You want to know why I switched sides from being a TRA? Because the people I was being told were hateful and transphobic were only speaking the truth and the only hate I could see was all coming from TRA's.,,,,,,,,,,,,,,,
2021-03-16 21:19:19,AgainHans,True,True,RT @djmuel_: Capitalism loves whatever's profitable.,,,,,,,,,,,,
